"","age","cg00532451","cg00311303","cg12209313","cg22942751","cg20630560","cg27264894","cg21543434","cg22370694","cg03981727","cg00251125","cg26037170","cg04140596","cg21683105","cg18159850","cg04843660","cg01816880","cg25622855","cg17745433","cg23630430","cg07600278","cg02268584","cg19746567","cg00901843","cg07382039","cg01765600","cg09853570","cg13107669","cg18494421","cg07922933","cg20775370","cg27394460","cg14661383","cg18857768","cg15618533","cg22850968","cg26940100","cg10770726","cg08621574","cg02281446","cg18329175","cg18261877","cg08794084","cg17602777","cg26273958","cg01084386","cg25222493","cg03054277","cg04850211","cg06190406","cg19401519","cg18477163","cg04924099","cg07198402","cg06637001","cg08262088","cg04193160","cg09636459","cg05794117","cg05844789","cg19789505","cg05706189","cg11852843","cg21407117","cg09411356","cg23644589"
"GSM989952",60,0.9923065,0.8655677,0.9137319,0.8781955,0.7032976,0.8821862,0.8452934,0.3038211,0.9888235,0.4194354,0.9952078,0.8022569,0.858096,0.000498819,0.7563158,0.7902743,0.584882,0.9617152,0.8088047,0.855801,0.8750079,0.9166614,0.7901452,0.7994496,0.6952363,0.9272186,0.8090926,0.8830906,0.7661535,0.876537,0.7577458,0.04544989,0.8749102,0.9362283,0.9919382,0.7747557,0.8759806,0.8253002,0.9903521,0.4882896,0.8576148,0.8222336,0.8273109,0.9814616,0.04929425,0.9170114,0.8175862,0.587824,0.9146345,0.7746336,0.4202185,0.8324758,0.8290783,0.01377517,0.8702856,0.4595908,0.7731494,0.8699738,0.5683743,0.7866237,0.9851754,0.8203725,0.7700814,0.7174785,0.924529
"GSM989953",71,0.9919524,0.8786554,0.9178887,0.851904,0.7146756,0.8765264,0.8517979,0.3977405,0.9865617,0.4894886,0.9936264,0.8013471,0.8529472,0,0.7611892,0.7878696,0.5862243,0.9412112,0.8048188,0.8444057,0.8928418,0.912469,0.8196093,0.806156,0.7338227,0.9171093,0.799812,0.8801302,0.7235371,0.8634091,0.7548251,0.05528169,0.8936506,0.9195877,0.9883246,0.7446948,0.8798697,0.8127766,0.992922,0.5158489,0.8588472,0.833472,0.8154662,0.9892836,0.05100787,0.9265128,0.8550684,0.4780191,0.91672,0.7938432,0.4312232,0.7734069,0.833831,0.01476695,0.8976382,0.492289,0.8097159,0.8994226,0.5007601,0.846361,0.9758855,0.7983512,0.7516794,0.7816854,0.9100181
"GSM989954",67,0.9918767,0.8972417,0.9055089,0.8748646,0.6293026,0.8878502,0.856275,0.3180007,0.9825379,0.4654508,0.9935766,0.7856363,0.8404966,0.0006166435,0.786065,0.7931286,0.6023037,0.9618272,0.8129043,0.8427588,0.899808,0.9112098,0.7888207,0.7837008,0.7091476,0.9265202,0.8362191,0.883037,0.7776796,0.8711258,0.7496023,0.04297001,0.8761801,0.94258,0.990448,0.7814526,0.8749857,0.8164616,0.9964844,0.512459,0.8441139,0.8338355,0.8295261,0.9883397,0.05029622,0.9254562,0.9096732,0.5176092,0.9045753,0.7627461,0.3876387,0.804916,0.8415135,0.01604791,0.8953179,0.4700221,0.802358,0.8657458,0.5384323,0.8071597,0.9740149,0.8402507,0.7798616,0.721638,0.9063846
"GSM989955",50,0.9790306,0.9043612,0.9252826,0.8518181,0.7008322,0.8866521,0.845083,0.3481137,0.9951718,0.4654477,0.9969033,0.801209,0.8206013,0,0.7583131,0.8025324,0.5840886,0.9578125,0.8281547,0.8292793,0.8855671,0.9015186,0.7820693,0.7834021,0.7249171,0.9117013,0.8127141,0.8771543,0.7823765,0.8451615,0.6425731,0.03675848,0.8786588,0.9218105,0.9900272,0.8210989,0.8585757,0.8287508,0.9962907,0.548793,0.8589059,0.8327698,0.8253872,0.9762973,0.05349915,0.9114789,0.9021405,0.4457501,0.9031152,0.7713358,0.3955888,0.7837679,0.8538665,0.02280531,0.8679111,0.492759,0.7760948,0.8805074,0.4869242,0.811888,0.968601,0.8243662,0.7586241,0.8055263,0.8923219
"GSM989956",86,0.9938891,0.8655764,0.9246092,0.8495027,0.7104634,0.8505593,0.8547367,0.3687332,0.9782366,0.4047183,0.9947004,0.7627653,0.8397455,0.005390253,0.7431107,0.7497345,0.5713097,0.9549153,0.7988747,0.836239,0.8608848,0.904741,0.763462,0.7671103,0.6920537,0.9169151,0.7835172,0.8831967,0.6759975,0.8479611,0.7104801,0.0432386,0.86862,0.9199957,0.9788001,0.8245627,0.8853031,0.7970992,0.9959959,0.4918923,0.8715031,0.7965312,0.8321611,0.9904786,0.06733194,0.9070417,0.8798095,0.3533388,0.8931887,0.7378242,0.6020925,0.7933028,0.8353024,0.01149413,0.8455354,0.4786933,0.7698936,0.84852,0.4537456,0.771364,0.9806424,0.766286,0.721537,0.7682166,0.9131493
"GSM989957",70,0.9920318,0.8687027,0.9202931,0.8659046,0.6805998,0.879465,0.8582515,0.2545561,0.9824061,0.2987275,0.9917265,0.7671283,0.8538971,0.002042995,0.7678902,0.7977822,0.5819946,0.954277,0.831277,0.7863461,0.8939389,0.90241,0.7833902,0.8027593,0.6951021,0.9262253,0.8100541,0.8753598,0.7518522,0.8378708,0.7502378,0.04034996,0.8751,0.9285941,0.9839384,0.8166565,0.8863928,0.799487,0.9954362,0.4488236,0.8322033,0.8304343,0.8127716,0.9780018,0.05085019,0.9261189,0.892985,0.5050999,0.9007058,0.7590261,0.5529702,0.617204,0.7967831,0.01216792,0.8638681,0.4976051,0.780353,0.7918456,0.5253541,0.8142118,0.9794677,0.8127035,0.7526243,0.7734069,0.9102492
"GSM989958",54,0.995523,0.8931014,0.9174026,0.8609089,0.6958221,0.8821681,0.8421837,0.3355927,0.9777438,0.4856094,0.9921252,0.8073156,0.8266683,0,0.7664278,0.8204516,0.5903255,0.9567722,0.836817,0.8376409,0.8813782,0.9047231,0.7869792,0.7868475,0.7327714,0.9262904,0.8187687,0.8957103,0.7974557,0.859145,0.7069817,0.0421033,0.8780547,0.9315056,0.982052,0.7778361,0.8929738,0.8242447,0.9960557,0.5391538,0.8698784,0.8431087,0.8214345,0.9825759,0.05731229,0.9152383,0.8772792,0.5320792,0.9003708,0.7699671,0.2728789,0.8264896,0.8454977,0.001841581,0.8786097,0.4923714,0.8036653,0.8645216,0.5003745,0.8050694,0.9650189,0.8189647,0.7765671,0.779713,0.9172723
"GSM989959",69,0.995479,0.8724495,0.9175636,0.8654327,0.6938871,0.8918073,0.8437006,0.3571105,0.9939113,0.4606772,0.9972972,0.8000255,0.8474067,0,0.762174,0.7926466,0.5881044,0.9534781,0.794212,0.8426899,0.8946855,0.9184282,0.7786201,0.7541149,0.7055288,0.9117365,0.7855983,0.8781055,0.7081013,0.854874,0.7026578,0.05535477,0.8868973,0.9203364,0.9838284,0.7990093,0.8935246,0.7983599,0.992721,0.5394212,0.8546944,0.8330116,0.8344044,0.9798251,0.05663152,0.9114979,0.9164026,0.4150789,0.9106498,0.7637988,0.6756058,0.8325667,0.8555177,0.02970517,0.8890466,0.5301697,0.7819421,0.8867225,0.4875007,0.8152498,0.974434,0.7967733,0.7453067,0.7999511,0.9139902
"GSM989960",76,0.990004,0.8892826,0.899205,0.8709146,0.6966975,0.8801724,0.8585713,0.3311646,0.9879877,0.4431661,0.9919989,0.7854769,0.8658214,0,0.7927148,0.8066605,0.6540185,0.9497216,0.8079144,0.8370257,0.8857332,0.9201753,0.7627577,0.7634639,0.7025915,0.9285226,0.8057618,0.8876259,0.6960554,0.8393473,0.716144,0.03610157,0.8717997,0.9308592,0.9903032,0.8067748,0.8873811,0.7858588,0.9942805,0.5918721,0.8752145,0.8043314,0.8172539,0.9824805,0.06227973,0.9123055,0.9507838,0.4871058,0.9135229,0.7881703,0.2503045,0.8075677,0.8718998,0.01604052,0.8920988,0.5004108,0.7997659,0.9288262,0.5305784,0.8318777,0.9845254,0.7836908,0.7525958,0.8217916,0.9219448
"GSM989961",58,0.9940755,0.8955035,0.9207878,0.8754653,0.7285466,0.8562747,0.8400986,0.3838441,0.9920237,0.3966213,0.9951199,0.7852337,0.8688058,0.00157549,0.778925,0.7739848,0.5965095,0.958626,0.8038804,0.8269446,0.8832042,0.9291421,0.7797956,0.7812017,0.7112446,0.9138879,0.8005939,0.8517876,0.7594998,0.8450319,0.8035718,0.0357858,0.8457944,0.9275045,0.987799,0.8981983,0.8688315,0.8203701,0.9929296,0.4863349,0.8313949,0.8241494,0.7958474,0.9837474,0.05680943,0.920317,0.6983656,0.592617,0.9042321,0.7535021,0.4554383,0.753375,0.8508458,0.009670928,0.886751,0.3397046,0.7470304,0.8511058,0.5429302,0.7990655,0.9905201,0.8071415,0.7650827,0.8881882,0.9340048
"GSM989962",58,0.992404,0.9004389,0.9134099,0.8744484,0.7207456,0.8714141,0.8576424,0.3583109,0.9855646,0.4636479,0.9937449,0.7823063,0.8733325,0,0.7703612,0.7904747,0.5981824,0.967041,0.8223273,0.8668362,0.8944799,0.9191396,0.7773471,0.8083017,0.7324043,0.8998793,0.7960182,0.8634249,0.7695179,0.8649014,0.7148127,0.04116527,0.8639659,0.922133,0.9844959,0.8259887,0.880592,0.8070357,0.9930887,0.5035195,0.8628064,0.8316745,0.8325311,0.9867219,0.05795481,0.9287665,0.8008575,0.5251666,0.9136947,0.7734672,0.4343309,0.8136591,0.8589668,0.0134643,0.886196,0.4677593,0.7551638,0.87812,0.5361456,0.7881902,0.9730542,0.8118531,0.7885571,0.8154297,0.9388474
"GSM989963",64,0.991387,0.8986458,0.9149888,0.8584672,0.7129622,0.8701189,0.8290567,0.369289,0.9887133,0.4625614,0.9949045,0.7854705,0.8358419,0,0.7925835,0.7887034,0.6109617,0.958101,0.852102,0.8081477,0.8786748,0.915795,0.7763629,0.7769103,0.7005441,0.9276178,0.8305662,0.862622,0.7296081,0.8611496,0.7218363,0.03698014,0.8572922,0.91583,0.9879424,0.8245145,0.8901184,0.8329701,0.9939421,0.5338244,0.8703315,0.815313,0.8351414,0.985588,0.05685756,0.9226164,0.8861775,0.5685699,0.9041889,0.7816291,0.3916433,0.7813884,0.8602095,0.0184944,0.8792974,0.4915257,0.7867812,0.8950257,0.5595494,0.8273457,0.9753386,0.7858626,0.7558425,0.7897117,0.9296535
"GSM989964",73,0.9967723,0.9067134,0.9324784,0.8500123,0.6896392,0.8958026,0.8661832,0.3152501,0.9904092,0.4214981,0.9950748,0.7959223,0.8358223,0,0.777721,0.8272254,0.5880198,0.9630404,0.8524361,0.8482463,0.9075989,0.9197092,0.7811797,0.7560545,0.7243669,0.9087234,0.8353539,0.8868847,0.7802432,0.877616,0.7397428,0.02810545,0.8706395,0.9374086,0.9877431,0.7927925,0.8807068,0.8250516,0.9896424,0.4991627,0.8707843,0.845052,0.8498438,0.9817713,0.05796479,0.9167461,0.8934017,0.553506,0.911227,0.8084194,0.4018722,0.8128843,0.821014,0.01462537,0.8844497,0.4558835,0.7826946,0.8698035,0.5632928,0.8243738,0.9845914,0.8258435,0.7641981,0.7438123,0.9064569
"GSM989965",49,0.9877251,0.8669785,0.8999988,0.8596573,0.6043667,0.8702774,0.8626643,0.2614231,0.9870272,0.3743987,0.9965192,0.7853062,0.7984036,0.002749087,0.7719986,0.7897896,0.6019361,0.9683696,0.8127789,0.8422626,0.8826508,0.9103444,0.7840733,0.7542447,0.7240764,0.9383708,0.8113335,0.8751055,0.7290964,0.860111,0.7367663,0.02920785,0.8638973,0.914261,0.990531,0.722003,0.901875,0.8096555,0.9926144,0.4883597,0.8449364,0.8325112,0.8162882,0.9778023,0.05610607,0.9151164,0.7506248,0.2573244,0.9075385,0.7787634,0.45159893,0.8210936,0.8297432,0.01036622,0.8733077,0.40413,0.7897082,0.8427811,0.3911828,0.8192213,0.9821247,0.8034765,0.7507139,0.6977646,0.9171951
"GSM989966",56,0.9922823,0.9084017,0.904205,0.8964126,0.6776658,0.8913909,0.8655407,0.3015074,0.9890448,0.4436733,0.9931626,0.7988228,0.8665469,0,0.7760361,0.7785879,0.6342521,0.9806061,0.8294348,0.8334666,0.8840889,0.9261675,0.7847415,0.7806891,0.7428042,0.9253457,0.8232061,0.8930914,0.7148826,0.8611223,0.6312468,0.04660373,0.873737,0.9534937,0.9919845,0.7457199,0.9009799,0.824788,0.9935902,0.5335832,0.8736658,0.837838,0.8400904,0.9883948,0.03973259,0.9259563,0.8667092,0.45849,0.9299574,0.7838948,0.3996245,0.8038312,0.8787423,0.01071649,0.891269,0.4481973,0.7819564,0.8909019,0.4608356,0.8151938,0.9832567,0.8073398,0.7367022,0.6981937,0.9252893
"GSM989967",75,0.9929613,0.896641,0.9324114,0.8545075,0.6684236,0.8627861,0.8392091,0.4222218,0.9886679,0.432166,0.9907196,0.8030998,0.6801565,0.003773684,0.7699238,0.7954517,0.5834982,0.9569287,0.8213333,0.8381921,0.8891838,0.9107477,0.7614068,0.5554423,0.6938359,0.9294187,0.8156673,0.8795913,0.7163702,0.8610669,0.7580954,0.02930697,0.8563051,0.9294694,0.9922801,0.6847267,0.8792148,0.8007662,0.991071,0.4336657,0.8569059,0.7970362,0.8303868,0.9847241,0.05172011,0.9048095,0.7646741,0.5127026,0.9021285,0.7583482,0.3751426,0.8089514,0.7729335,0.01836045,0.891425,0.3779764,0.7834122,0.8132167,0.5153717,0.7303199,0.9709727,0.8110483,0.7300625,0.7073406,0.9032715
"GSM989968",48,0.9904925,0.891982,0.9237217,0.8597564,0.6323838,0.8754828,0.8599346,0.3108987,0.9849342,0.4570341,0.9927245,0.766373,0.8063294,0,0.775263,0.7747999,0.5829037,0.9533026,0.8026233,0.8364269,0.8758449,0.8901016,0.7582889,0.7703551,0.7117857,0.9089769,0.8070506,0.8820399,0.71916,0.8352718,0.6939183,0.03267756,0.847376,0.9313587,0.9952537,0.7603305,0.8924404,0.8262538,0.9940822,0.4791782,0.8581517,0.8217929,0.8109041,0.9853773,0.05860335,0.9201724,0.8227438,0.6167185,0.9089115,0.7820067,0.4416485,0.7917112,0.8510157,0.02272288,0.8926884,0.441428,0.7712303,0.8623291,0.5490699,0.7083223,0.9651577,0.7872973,0.735117,0.7215798,0.9042241
"GSM989969",81,0.9883278,0.8874801,0.8991232,0.8692384,0.7336044,0.884311,0.8467879,0.4406245,0.9799637,0.4717436,0.9947475,0.8138702,0.8949073,0,0.7688348,0.8298423,0.5990493,0.9643995,0.8205555,0.8543171,0.8797806,0.9229403,0.7900932,0.8162403,0.7155738,0.927618,0.8100938,0.8636538,0.7426663,0.8554916,0.7560757,0.03961029,0.8602119,0.9215336,0.9834549,0.9387891,0.8902099,0.8287534,0.9833206,0.5339928,0.8496837,0.8274319,0.822809,0.9756328,0.05400756,0.9156713,0.7779273,0.5710038,0.8899865,0.7741783,0.3529438,0.8124473,0.8508347,0.0147558,0.8734643,0.4120587,0.7606964,0.8815069,0.5456982,0.8178747,0.9743489,0.7865619,0.7639275,0.8557556,0.9404641
"GSM989970",72,0.9944574,0.8826169,0.925918,0.8600605,0.7202241,0.8900058,0.8645996,0.3547985,0.9830397,0.440082,0.9891948,0.7883025,0.8047855,0,0.7784073,0.8079793,0.6034985,0.9528174,0.7832936,0.8595256,0.8937771,0.9316367,0.774362,0.7446201,0.7034749,0.9097832,0.7916693,0.8656974,0.7469146,0.8366038,0.7213171,0.03911131,0.8477905,0.9197543,0.9850765,0.8549923,0.8777223,0.8121362,0.9965292,0.5577649,0.8649003,0.8047602,0.829414,0.9844025,0.06231794,0.8996675,0.9833392,0.5552994,0.9161242,0.7972603,0.1756692,0.8009997,0.8836114,0.009483331,0.8904104,0.5960121,0.773034,0.9089438,0.563468,0.827979,0.972796,0.8037352,0.7561536,0.8166294,0.9181792
"GSM989971",61,0.9950405,0.8982404,0.9204593,0.8713324,0.6658297,0.8801929,0.8545747,0.3152452,0.9916033,0.44902,0.9858606,0.7927153,0.8256574,0,0.77008,0.7857909,0.5416016,0.9787872,0.8497123,0.8438523,0.8867443,0.9626389,0.7801778,0.7764216,0.7314757,0.9160025,0.8030174,0.8794753,0.759914,0.8626255,0.7211384,0.03448162,0.8505493,0.9525301,0.993043,0.7206513,0.8959367,0.8406774,0.9969099,0.4229608,0.8834026,0.8426651,0.8347703,0.9922113,0.04201511,0.9345395,0.7793471,0.6273532,0.9195083,0.773646,0.1734141,0.8327905,0.8357522,0.01331372,0.9445562,0.3760215,0.7822852,0.8243647,0.5581236,0.4883324,0.9863782,0.790557,0.768445,0.6978374,0.9324948
"GSM989972",50,0.9876032,0.8747225,0.9172776,0.8534836,0.7003144,0.8708761,0.819079,0.3539542,0.9883832,0.4789824,0.9969466,0.7911794,0.8144921,0,0.780108,0.7942465,0.6001521,0.9461827,0.8052928,0.8496405,0.8820313,0.9293723,0.7722479,0.7500696,0.7180529,0.925041,0.8038462,0.8668321,0.7127705,0.8624439,0.6994385,0.04332724,0.8513731,0.8963625,0.988885,0.8532254,0.8912585,0.7919787,0.9916549,0.5418442,0.8696607,0.8131528,0.8214635,0.9791611,0.04712811,0.9066418,0.9118289,0.6128842,0.9068499,0.7713895,0.2332972,0.7964801,0.8712111,0.01483637,0.8756316,0.4776292,0.7811133,0.9025013,0.5556408,0.7977011,0.9734597,0.793655,0.7658372,0.835161,0.9015279
"GSM989973",69,0.9882466,0.8226946,0.9034778,0.8492424,0.6976124,0.868982,0.8640545,0.2930503,0.9912355,0.3704553,0.9938404,0.8148969,0.7947111,0,0.7731768,0.7637212,0.5672719,0.9492369,0.8109653,0.8120124,0.8841338,0.9073917,0.7591242,0.7225974,0.68287,0.9013774,0.8194749,0.8370975,0.7589812,0.8576971,0.6570873,0.04936964,0.8442314,0.9208711,0.9918795,0.7517486,0.8361709,0.8250143,0.9904794,0.4783683,0.8390254,0.8004184,0.8211313,0.9836795,0.05762781,0.918353,0.8655929,0.5863917,0.8915268,0.7433323,0.4179452,0.7882085,0.8177093,0.04604296,0.8765609,0.4261363,0.7589625,0.8619347,0.5008851,0.7649747,0.9683554,0.7980855,0.7567065,0.7123854,0.9145179
"GSM989974",65,0.9929375,0.8751559,0.9205529,0.8513011,0.6486216,0.8623919,0.8417773,0.3002245,0.9920842,0.4158466,0.9941225,0.8059879,0.7996265,0.005378593,0.7674432,0.7939046,0.5824174,0.9689082,0.8198463,0.8502815,0.8879625,0.9169172,0.7895173,0.7322156,0.7109976,0.9214684,0.7848684,0.8733633,0.7833732,0.8747294,0.7543525,0.0407505,0.9016089,0.9323724,0.994132,0.8308677,0.8680953,0.847703,0.9815229,0.4722264,0.8667103,0.8336864,0.8099895,0.9697582,0.05802578,0.9243879,0.892064,0.3547908,0.9006019,0.7898782,0.5978413,0.8044103,0.8346328,0.0159398,0.869418,0.4625024,0.77679,0.8063232,0.4447711,0.8336195,0.9701789,0.8019376,0.7788315,0.7564135,0.9226439
"GSM989975",47,0.9943686,0.8971323,0.925999,0.8587827,0.7395679,0.8776358,0.8583169,0.4177862,0.989319,0.5019176,0.9963438,0.7958226,0.7859915,0.002032132,0.7797502,0.8020164,0.5834864,0.9626327,0.8527375,0.8496166,0.8776453,0.9298131,0.7936107,0.7327521,0.7511874,0.9135137,0.8104309,0.8803303,0.7607548,0.8726123,0.6855215,0.03708499,0.8861887,0.9332636,0.9913586,0.8528433,0.8881825,0.8187814,0.9928828,0.5740619,0.8794112,0.8514711,0.83052,0.9854621,0.06235645,0.9382167,0.8286917,0.652783,0.9140037,0.7883267,0.2369829,0.7846392,0.8737977,0.01298828,0.8877991,0.422188,0.7831726,0.9006456,0.5723941,0.8425614,0.9635119,0.8154387,0.7658376,0.8805312,0.9034926
"GSM989976",43,0.9895308,0.8728612,0.9156673,0.8455433,0.6848575,0.8869945,0.8518286,0.3901119,0.9896032,0.4699165,0.9964759,0.7837176,0.8342554,0.003952673,0.7646737,0.7978455,0.5966494,0.9543656,0.8393764,0.8601843,0.8784976,0.9328479,0.7657127,0.7598831,0.7161282,0.9206324,0.7901098,0.869302,0.7832615,0.8611561,0.73702,0.04567506,0.852801,0.9263012,0.9864272,0.821577,0.8813838,0.81707,0.9929623,0.5473133,0.8647145,0.8076612,0.8172534,0.9767729,0.05549429,0.9186435,0.8792233,0.4599961,0.8958142,0.7703022,0.4217822,0.7948678,0.8329057,0.01800952,0.8692816,0.4531776,0.7626275,0.8901437,0.4757684,0.725802,0.9646224,0.8041651,0.7727657,0.7954149,0.9102549
"GSM989977",55,0.9903143,0.8799045,0.9155317,0.8567795,0.7768877,0.8777134,0.8541813,0.3957681,0.97981,0.475859,0.9971302,0.8158903,0.8405393,0.002069829,0.7587022,0.8014383,0.5936419,0.9510486,0.8127055,0.852635,0.8950271,0.9028923,0.7659356,0.7754114,0.705801,0.9275637,0.8148166,0.8800403,0.7125745,0.8730786,0.7688447,0.04591116,0.8808909,0.923245,0.9897738,0.8846364,0.8936034,0.8052026,0.9921774,0.5568271,0.8495171,0.8200834,0.8301609,0.9811906,0.04902051,0.9222257,0.8629068,0.4945962,0.9101267,0.7840397,0.4190014,0.7973794,0.865478,0.02080125,0.8809502,0.439542,0.7700714,0.8965568,0.488726,0.8268513,0.98086,0.7839756,0.7328481,0.8730854,0.9044729
"GSM989978",54,0.9902847,0.8844494,0.9273552,0.865183,0.6359267,0.8861436,0.8455327,0.2827142,0.9862612,0.3896366,0.994481,0.7993179,0.848471,0,0.7678449,0.7921884,0.5961583,0.9466319,0.8012171,0.8086957,0.8749478,0.8974596,0.7699181,0.7772378,0.7048919,0.9240459,0.8257949,0.8499059,0.714291,0.8554611,0.7030736,0.03330032,0.8678174,0.9049088,0.990812,0.7039861,0.8888729,0.7962369,0.9922432,0.4771679,0.8618718,0.8097346,0.8086984,0.9909046,0.05355957,0.9299722,0.8200015,0.4793688,0.8957625,0.7895406,0.6315696,0.8161491,0.8314777,0.01283402,0.8814884,0.4349419,0.7592499,0.8364191,0.5016099,0.7858157,0.9786525,0.7681316,0.7364482,0.7115003,0.9061589
"GSM989979",58,0.9969376,0.8836704,0.9276827,0.8631065,0.6748245,0.8658349,0.8673461,0.3748938,0.9956419,0.4170289,0.9973416,0.7917247,0.7953959,0,0.7630653,0.8059214,0.6012766,0.9576053,0.8473041,0.8553911,0.8853931,0.8941885,0.7737089,0.7541738,0.7053759,0.9127035,0.8255509,0.8706822,0.7912458,0.8657249,0.7542253,0.04359018,0.8724799,0.9238752,0.9895524,0.8724827,0.8720712,0.8259982,0.9935142,0.4517302,0.8745167,0.8225678,0.8079613,0.9831649,0.05448615,0.916552,0.6895876,0.430025,0.902975,0.7668869,0.5701255,0.8142375,0.8193662,0.008545822,0.8778726,0.4229631,0.7834376,0.8022603,0.4860674,0.8158662,0.97756434,0.8194994,0.7712322,0.7380465,0.9186155
"GSM989980",34,0.9906907,0.8896269,0.9226178,0.8420857,0.6853217,0.8661453,0.8526198,0.2904113,0.9868698,0.4881256,0.9952177,0.7859675,0.829714,0.01161505,0.774654,0.8224958,0.6038369,0.9590245,0.8235169,0.8550676,0.8830211,0.9391127,0.8001545,0.7647231,0.750578,0.9194117,0.8296714,0.8778308,0.7937297,0.8685716,0.7233257,0.03598395,0.8871956,0.9343677,0.981218,0.7762274,0.8806069,0.8423293,0.9960857,0.5297012,0.8652697,0.8336821,0.823783,0.9878243,0.04587749,0.9274631,0.8129128,0.3621896,0.908974,0.8084689,0.6453725,0.8094937,0.8361575,0.01164141,0.8880782,0.4011829,0.8105655,0.8901986,0.4646289,0.8238111,0.9836391,0.8201557,0.7822059,0.7440145,0.931411
"GSM989981",65,0.9930779,0.8919485,0.918207,0.8869024,0.6804702,0.8738558,0.826421,0.3165468,0.9871196,0.4478403,0.9921904,0.7888272,0.7857468,0,0.7696044,0.8124095,0.5931108,0.9581047,0.8382307,0.8469142,0.8897275,0.8785676,0.7822803,0.7365676,0.7132053,0.9100628,0.8349887,0.8621107,0.7801486,0.8547592,0.7124054,0.03777741,0.8568295,0.9374272,0.9862155,0.7977109,0.8581078,0.8325288,0.9935799,0.5039662,0.8835967,0.8287796,0.8269788,0.9919071,0.05127097,0.9194484,0.880457,0.4165974,0.8951996,0.7733198,0.4552158,0.8119789,0.8178464,0.007175929,0.8779947,0.4676269,0.7916846,0.8720078,0.4451289,0.8221338,0.9717233,0.8220894,0.7974479,0.8248748,0.9128173
"GSM989982",52,0.9919354,0.8925671,0.9293789,0.8489957,0.7231505,0.894051,0.8296667,0.3471539,0.9866378,0.4624654,0.995628,0.7927435,0.8055982,0,0.7748739,0.8105371,0.6057393,0.951246,0.8178489,0.8507869,0.8704963,0.9176005,0.7685982,0.7755468,0.7342161,0.9124944,0.8140291,0.8765287,0.7690604,0.8662869,0.7378701,0.03578474,0.8984156,0.9224887,0.982102,0.817213,0.8752138,0.8164391,0.9958984,0.5181537,0.8623952,0.8450511,0.8137858,0.9818028,0.05689514,0.9238892,0.8843223,0.6240247,0.9047202,0.7803097,0.4464068,0.8112112,0.8609897,0.01519904,0.8728307,0.4828518,0.8124607,0.8798079,0.5472676,0.7884381,0.9720885,0.8109354,0.7637419,0.7859787,0.9168801
"GSM989983",32,0.9944479,0.8744709,0.913987,0.8467328,0.6826528,0.8749856,0.8465348,0.3387952,0.9918992,0.4901038,0.994852,0.792018,0.8054351,0,0.778285,0.8133668,0.5947638,0.9569473,0.8091211,0.8515485,0.8755576,0.8933424,0.7836668,0.7689177,0.7148994,0.9219345,0.8042446,0.8669591,0.7315875,0.8481903,0.7167635,0.03445338,0.8868882,0.9146371,0.9937715,0.7969492,0.8880202,0.802248,0.9949405,0.5377573,0.8609653,0.8258805,0.8171718,0.9862506,0.05097767,0.9161852,0.8450618,0.6566322,0.9116712,0.7846251,0.509024,0.8396148,0.857643,0.01327527,0.8793721,0.4627946,0.7961766,0.8899143,0.5762741,0.8202774,0.9748688,0.7863919,0.7563093,0.811586,0.9276876
"GSM989984",47,0.9863605,0.8693279,0.9212578,0.8470889,0.6792806,0.8855729,0.8613194,0.3087588,0.987248,0.4549964,0.9955992,0.7873581,0.810842,0.001149277,0.7821342,0.8022317,0.5899774,0.9547887,0.7928185,0.8370826,0.8803812,0.9094294,0.7609277,0.7380933,0.7189033,0.9128671,0.8247908,0.8760934,0.706782,0.849462,0.7071729,0.03838879,0.8712317,0.9160363,0.9898711,0.781787,0.8775293,0.7980134,0.9905714,0.5259296,0.8572583,0.8033807,0.8113035,0.983846,0.05995219,0.9385757,0.8624602,0.4854689,0.9086583,0.7925666,0.4160255,0.8057534,0.8364658,0.005902342,0.8793921,0.4675346,0.8094916,0.8703613,0.4831916,0.7634732,0.9837738,0.7838559,0.7480103,0.7566623,0.9238451
"GSM989985",54,0.9944315,0.8663601,0.935631,0.866125,0.7103142,0.8834201,0.8694718,0.3480799,0.9954388,0.4049929,0.9965317,0.7961615,0.8123306,0.001792092,0.7875302,0.8061298,0.6189775,0.9621531,0.8076136,0.8437623,0.8734209,0.9235392,0.7896162,0.7244403,0.7395943,0.9244473,0.7931961,0.8732669,0.6960617,0.8472136,0.7106118,0.04355184,0.8690512,0.9157926,0.9895964,0.8658006,0.8844745,0.7969263,0.9936191,0.5361472,0.8770579,0.8057465,0.8274741,0.9966382,0.05483512,0.9316275,0.9306419,0.6217125,0.9157837,0.7871718,0.2178904,0.8389004,0.8381779,0.0697169,0.9009726,0.5343277,0.794874,0.8636533,0.5496893,0.8068944,0.9858308,0.7767109,0.7413715,0.7820982,0.9508319
